country,continent,year,pop,lifeExp,childMortPer1000,fertRate,gdpPercap
Afghanistan,Asia,1893,4540000,34.2,481,7,796
Afghanistan,Asia,1894,4560000,34.3,483,7,806
Afghanistan,Asia,1895,4580000,34.5,483,7,816
Afghanistan,Asia,1896,4600000,34.6,483,7,827
Afghanistan,Asia,1897,4620000,34.8,483,7,837
Afghanistan,Asia,1898,4640000,34.9,482,7,848
Afghanistan,Asia,1899,4670000,35.1,482,7,858
Afghanistan,Asia,1900,4710000,35.2,482,7,869
Afghanistan,Asia,1901,4750000,35.4,481,7,880
Afghanistan,Asia,1902,4800000,35.5,481,7,891
Afghanistan,Asia,1903,4860000,35.7,480,7,903
Afghanistan,Asia,1904,4920000,35.8,481,7,914
Afghanistan,Asia,1905,4980000,36,480,7,926
Afghanistan,Asia,1906,5040000,36.1,480,7,937
Afghanistan,Asia,1907,5110000,36.2,479,7,949
Afghanistan,Asia,1908,5170000,36.4,478,7,961
Afghanistan,Asia,1909,5300000,36.5,477,7,973
Afghanistan,Asia,1910,5500000,36.7,476,7,986
Afghanistan,Asia,1911,5790000,36.8,475,7,998
Afghanistan,Asia,1912,6160000,37,473,7,1010
Afghanistan,Asia,1913,6620000,37.1,472,7,1020
Afghanistan,Asia,1914,7120000,37.3,473,7,1040
Afghanistan,Asia,1915,7650000,37.4,471,7,1050
Afghanistan,Asia,1916,8230000,37.6,470,7,1060
Afghanistan,Asia,1917,8850000,37.7,469,7,1080
Afghanistan,Asia,1918,9530000,9.88,468,7,1090
Afghanistan,Asia,1919,9980000,38,467,7,1100
Afghanistan,Asia,1920,10200000,38.1,466,7,1120
Afghanistan,Asia,1921,10200000,38.3,465,7,1130
Afghanistan,Asia,1922,9890000,38.4,463,7,1150
Afghanistan,Asia,1923,9370000,38.6,462,7,1160
Afghanistan,Asia,1924,8880000,38.7,463,7,1170
Afghanistan,Asia,1925,8420000,38.9,461,7,1190
Afghanistan,Asia,1926,7970000,39,460,7.03,1200
Afghanistan,Asia,1927,7560000,39.2,459,7.05,1220
Afghanistan,Asia,1928,7160000,39.3,458,7.08,1240
Afghanistan,Asia,1929,6850000,39.4,457,7.11,1250
Afghanistan,Asia,1930,6630000,39.6,456,7.14,1270
Afghanistan,Asia,1931,6480000,39.7,454,7.16,1280
Afghanistan,Asia,1932,6410000,39.9,451,7.19,1300
Afghanistan,Asia,1933,6410000,40,451,7.21,1320
Afghanistan,Asia,1934,6410000,40.2,448,7.24,1330
Afghanistan,Asia,1935,6410000,40.3,446,7.26,1350
Afghanistan,Asia,1936,6410000,40.5,444,7.29,1370
Afghanistan,Asia,1937,6410000,40.6,442,7.31,1380
Afghanistan,Asia,1938,6410000,40.7,440,7.33,1400
Afghanistan,Asia,1939,6430000,40.9,438,7.36,1420
Afghanistan,Asia,1940,6470000,41,436,7.38,1440
Afghanistan,Asia,1941,6530000,41.2,434,7.4,1460
Afghanistan,Asia,1942,6610000,41.4,431,7.42,1480
Afghanistan,Asia,1943,6710000,41.5,431,7.44,1500
Afghanistan,Asia,1944,6810000,41.7,428,7.46,1520
Afghanistan,Asia,1945,6920000,41.9,426,7.48,1540
Afghanistan,Asia,1946,7020000,42,424,7.5,1560
Afghanistan,Asia,1947,7130000,42.2,422,7.52,1590
Afghanistan,Asia,1948,7240000,42.4,420,7.54,1610
Afghanistan,Asia,1949,7360000,42.5,418,7.56,1630
Afghanistan,Asia,1950,7480000,42.7,416,7.57,1660
Afghanistan,Asia,1951,7570000,42.9,413,7.56,1700
Afghanistan,Asia,1952,7670000,43.1,407,7.55,1730
Afghanistan,Asia,1953,7760000,43.5,401,7.54,1810
Afghanistan,Asia,1954,7860000,43.3,395,7.53,1820
Afghanistan,Asia,1955,7970000,43.9,389,7.52,1820
Afghanistan,Asia,1956,8090000,44.1,383,7.51,1870
Afghanistan,Asia,1957,8210000.000000001,44.3,376,7.49,1840
Afghanistan,Asia,1958,8330000,44.5,370,7.48,1910
Afghanistan,Asia,1959,8470000,44.7,363,7.46,1930
Afghanistan,Asia,1960,8620000,45,357,7.45,1960
Afghanistan,Asia,1961,8790000,45.3,351,7.45,1940
Afghanistan,Asia,1962,8970000,45.5,345,7.45,1930
Afghanistan,Asia,1963,9160000,45.7,340,7.45,1930
Afghanistan,Asia,1964,9360000,45.9,335,7.45,1920
Afghanistan,Asia,1965,9570000,46.1,330,7.45,1920
Afghanistan,Asia,1966,9780000,46.3,324,7.45,1900
Afghanistan,Asia,1967,10000000,46.5,319,7.45,1910
Afghanistan,Asia,1968,10200000,46.7,314,7.45,1930
Afghanistan,Asia,1969,10500000,46.9,308,7.45,1920
Afghanistan,Asia,1970,10800000,47.1,303,7.45,1910
Afghanistan,Asia,1971,11000000,47.3,297,7.45,1860
Afghanistan,Asia,1972,11300000,47.3,292,7.45,1520
Afghanistan,Asia,1973,11600000,47.3,286,7.45,1530
Afghanistan,Asia,1974,11900000,47.4,280,7.45,1570
Afghanistan,Asia,1975,12200000,47.5,275,7.45,1630
Afghanistan,Asia,1976,12400000,47.7,269,7.45,1680
Afghanistan,Asia,1977,12700000,47.9,263,7.45,1550
Afghanistan,Asia,1978,12900000,46.4,257,7.45,1630
Afghanistan,Asia,1979,13000000,44.7,250,7.45,1560
Afghanistan,Asia,1980,12500000,43.7,244,7.45,1560
Afghanistan,Asia,1981,11200000,44.3,238,7.45,1750
Afghanistan,Asia,1982,10100000,44.1,231,7.45,1950
Afghanistan,Asia,1983,9950000,42.3,225,7.45,2070
Afghanistan,Asia,1984,10200000,39.9,218,7.46,2060
Afghanistan,Asia,1985,10500000,42,211,7.46,2010
Afghanistan,Asia,1986,10400000,43.3,205,7.46,2070
Afghanistan,Asia,1987,10300000,45.9,198,7.46,1870
Afghanistan,Asia,1988,10400000,48.5,192,7.46,1700
Afghanistan,Asia,1989,10700000,52.7,185,7.46,1550
Afghanistan,Asia,1990,10700000,53.8,179,7.47,1500
Afghanistan,Asia,1991,10700000,53.8,173,7.48,1370
Afghanistan,Asia,1992,12100000,54.2,167,7.5,1320
Afghanistan,Asia,1993,14000000,54.4,161,7.54,903
Afghanistan,Asia,1994,15500000,53.9,156,7.57,670
Afghanistan,Asia,1995,16399999.999999998,54.3,151,7.61,991
Afghanistan,Asia,1996,17100000,54.7,146,7.63,942
Afghanistan,Asia,1997,17800000,54.5,142,7.64,897
Afghanistan,Asia,1998,18500000,53.3,138,7.62,858
Afghanistan,Asia,1999,19300000,54.7,133,7.57,818
Afghanistan,Asia,2000,19500000,54.7,129,7.49,794
Afghanistan,Asia,2001,19700000,54.8,125,7.39,775
Afghanistan,Asia,2002,21000000,55.5,121,7.27,1260
Afghanistan,Asia,2003,22600000,56.5,117,7.14,1280
Afghanistan,Asia,2004,23600000,57.1,113,6.99,1260
Afghanistan,Asia,2005,24400000,57.6,109,6.83,1350
Afghanistan,Asia,2006,25400000,58,104,6.65,1370
Afghanistan,Asia,2007,25900000,58.5,100,6.46,1540
Afghanistan,Asia,2008,26400000,59.2,96,6.25,1570
Afghanistan,Asia,2009,27400000,59.9,91.9,6.04,1830
Afghanistan,Asia,2010,28200000,60.5,88,5.82,2030
Afghanistan,Asia,2011,29200000,61,84.1,5.6,1960
Afghanistan,Asia,2012,30500000,61.4,80.5,5.38,2120
Afghanistan,Asia,2013,31500000,61.9,77,5.17,2170
Afghanistan,Asia,2014,32700000.000000004,61.9,73.5,4.98,2140
Afghanistan,Asia,2015,33800000,61.9,70.4,4.8,2110
Afghanistan,Asia,2016,34600000,62,67.5,4.64,2100
Afghanistan,Asia,2017,35600000,62.9,64.7,4.48,2100
Afghanistan,Asia,2018,36700000,62.7,62.3,4.33,2060
Afghanistan,Asia,2019,37800000,63.3,60.1,4.18,2080
Afghanistan,Asia,2020,39000000,62.3,58.1,4.04,1970
Afghanistan,Asia,2021,40100000,61.8,56.1,3.9,1520
Afghanistan,Asia,2022,41100000,62.6,54.2,3.77,1430
Afghanistan,Asia,2023,42200000,64,52.4,3.65,1400
Afghanistan,Asia,2024,43400000,64.8,50.6,3.53,1370
Afghanistan,Asia,2025,44500000,65.1,49,3.43,1370
Afghanistan,Asia,2026,45700000,65.4,47.5,3.32,1380
Afghanistan,Asia,2027,46800000,65.6,46,3.23,1400
Afghanistan,Asia,2028,48000000,65.9,44.6,3.14,1420
Afghanistan,Asia,2029,49200000,66.1,43.3,3.06,1460
Afghanistan,Asia,2030,50300000,66.3,42,2.98,1450
Afghanistan,Asia,2031,51500000,66.6,40.9,2.91,1480
Afghanistan,Asia,2032,52700000,66.8,39.7,2.85,1500
Afghanistan,Asia,2033,53900000,67,38.7,2.79,1530
Afghanistan,Asia,2034,55000000,67.2,37.6,2.73,1560
Afghanistan,Asia,2035,56200000,67.4,36.7,2.68,1590
Afghanistan,Asia,2036,57400000,67.6,35.7,2.63,1620
Afghanistan,Asia,2037,58600000,67.8,34.8,2.58,1650
Afghanistan,Asia,2038,59800000,68,34,2.53,1670
Afghanistan,Asia,2039,61000000,68.2,33.1,2.49,1710
Afghanistan,Asia,2040,62200000,68.3,32.3,2.45,1740
Afghanistan,Asia,2041,63400000,68.5,31.6,2.41,1770
Afghanistan,Asia,2042,64599999.99999999,68.7,30.8,2.37,1800
Afghanistan,Asia,2043,65800000,68.9,30.1,2.34,1830
Afghanistan,Asia,2044,67000000,69,29.5,2.3,1860
Afghanistan,Asia,2045,68200000,69.2,28.9,2.27,1900
Afghanistan,Asia,2046,69400000,69.4,28.3,2.24,1930
Afghanistan,Asia,2047,70500000,69.5,27.7,2.21,1970
Afghanistan,Asia,2048,71700000,69.7,27.1,2.18,2000
Afghanistan,Asia,2049,72900000,69.8,26.6,2.15,2040
Afghanistan,Asia,2050,74100000,70,26,2.13,2070
Afghanistan,Asia,2051,75200000,70.2,25.5,2.1,2110
Afghanistan,Asia,2052,76400000,70.3,25,2.08,2150
Afghanistan,Asia,2053,77500000,70.5,24.5,2.05,2190
Afghanistan,Asia,2054,78700000,70.6,24,2.03,2230
Afghanistan,Asia,2055,79800000,70.8,23.5,2.01,2270
Afghanistan,Asia,2056,80900000,70.9,23.1,1.99,2310
Afghanistan,Asia,2057,82000000,71.1,22.6,1.97,2360
Afghanistan,Asia,2058,83100000,71.2,22.2,1.95,2400
Afghanistan,Asia,2059,84200000,71.3,21.8,1.94,2450
Afghanistan,Asia,2060,85200000,71.5,21.4,1.92,2490
Afghanistan,Asia,2061,86200000,71.6,21,1.91,2540
Afghanistan,Asia,2062,87300000,71.8,20.6,1.89,2590
Afghanistan,Asia,2063,88200000,71.9,20.2,1.88,2640
Afghanistan,Asia,2064,89200000,72.1,19.9,1.87,2700
Afghanistan,Asia,2065,90200000,72.2,19.5,1.85,2750
Afghanistan,Asia,2066,91100000,72.3,19.1,1.84,2810
Afghanistan,Asia,2067,92100000,72.5,18.8,1.83,2860
Afghanistan,Asia,2068,93000000,72.6,18.4,1.82,2920
Afghanistan,Asia,2069,93900000,72.8,18.1,1.81,2980
Afghanistan,Asia,2070,94700000,72.9,17.8,1.81,3040
Afghanistan,Asia,2071,95600000,73,17.4,1.8,3100
Afghanistan,Asia,2072,96400000,73.2,17.1,1.79,3170
Afghanistan,Asia,2073,97200000,73.3,16.8,1.79,3240
Afghanistan,Asia,2074,98000000,73.5,16.6,1.78,3300
Afghanistan,Asia,2075,98700000,73.6,16.3,1.77,3380
Afghanistan,Asia,2076,99500000,73.8,16,1.77,3450
Afghanistan,Asia,2077,100000000,73.9,15.8,1.76,3520
Afghanistan,Asia,2078,101000000,74.1,15.5,1.76,3600
Afghanistan,Asia,2079,102000000,74.2,15.2,1.76,3680
Afghanistan,Asia,2080,102000000,74.3,15,1.75,3760
Afghanistan,Asia,2081,103000000,74.5,14.8,1.75,3840
Afghanistan,Asia,2082,104000000,74.6,14.5,1.75,3920
Afghanistan,Asia,2083,104000000,74.8,14.3,1.75,4010
Afghanistan,Asia,2084,105000000,74.9,14.1,1.75,4100
Afghanistan,Asia,2085,105000000,75.1,13.8,1.75,4190
Afghanistan,Asia,2086,106000000,75.2,13.6,1.74,4290
Afghanistan,Asia,2087,106000000,75.4,13.4,1.74,4390
Afghanistan,Asia,2088,107000000,75.5,13.2,1.74,4490
Afghanistan,Asia,2089,107000000,75.6,12.9,1.74,4590
Afghanistan,Asia,2090,108000000,75.8,12.8,1.74,4690
Afghanistan,Asia,2091,108000000,75.9,12.6,1.74,4800
Afghanistan,Asia,2092,108000000,76.1,12.4,1.74,4910
Afghanistan,Asia,2093,109000000,76.2,12.2,1.74,5030
Afghanistan,Asia,2094,109000000,76.4,12,1.74,5150
Afghanistan,Asia,2095,109000000,76.5,11.8,1.74,5270
Afghanistan,Asia,2096,110000000,76.7,11.6,1.74,5390
Afghanistan,Asia,2097,110000000,76.8,11.5,1.74,5520
Afghanistan,Asia,2098,110000000,77,11.3,1.74,5650
Afghanistan,Asia,2099,111000000,77.1,11.1,1.74,5780
Afghanistan,Asia,2100,111000000,77.3,11.1,1.74,5920
Angola,Africa,1800,1570000,27,486,6.93,465
Angola,Africa,1801,1570000,27,486,6.93,466
Angola,Africa,1802,1570000,27,486,6.93,469
Angola,Africa,1803,1570000,27,486,6.93,471
Angola,Africa,1804,1570000,27,486,6.93,472
Angola,Africa,1805,1570000,27,486,6.93,475
Angola,Africa,1806,1570000,27,486,6.93,477
Angola,Africa,1807,1570000,27,486,6.94,479
Angola,Africa,1808,1570000,27,486,6.94,481
Angola,Africa,1809,1570000,27,486,6.94,483
Angola,Africa,1810,1570000,27,486,6.94,485
Angola,Africa,1811,1570000,27,486,6.94,487
Angola,Africa,1812,1570000,27,486,6.94,490
Angola,Africa,1813,1570000,27,486,6.94,492
Angola,Africa,1814,1570000,27,486,6.94,494
Angola,Africa,1815,1570000,27,486,6.94,497
Angola,Africa,1816,1570000,27,486,6.94,498
Angola,Africa,1817,1570000,27,486,6.94,500
Angola,Africa,1818,1570000,27,486,6.94,503
Angola,Africa,1819,1570000,27,486,6.94,505
Angola,Africa,1820,1580000,27,486,6.94,507
Angola,Africa,1821,1590000,27,486,6.95,509
Angola,Africa,1822,1610000,27,486,6.95,512
Angola,Africa,1823,1640000,27,486,6.95,514
Angola,Africa,1824,1660000,27,486,6.95,516
Angola,Africa,1825,1690000,27,486,6.95,518
Angola,Africa,1826,1710000,27,486,6.95,521
Angola,Africa,1827,1740000,27,486,6.95,523
Angola,Africa,1828,1760000,27,486,6.95,525
Angola,Africa,1829,1790000,27,486,6.95,527
Angola,Africa,1830,1810000,27,486,6.95,530
Angola,Africa,1831,1840000,27,486,6.95,533
Angola,Africa,1832,1870000,27,486,6.95,535
Angola,Africa,1833,1900000,27,486,6.95,537
Angola,Africa,1834,1920000,27,486,6.95,539
Angola,Africa,1835,1950000,27,486,6.96,542
Angola,Africa,1836,1980000,27,486,6.96,544
Angola,Africa,1837,2009999.9999999998,27,486,6.96,546
Angola,Africa,1838,2040000,27,486,6.96,549
Angola,Africa,1839,2069999.9999999998,27,486,6.96,551
Angola,Africa,1840,2100000,27,486,6.96,554
Angola,Africa,1841,2130000,27,486,6.96,556
Angola,Africa,1842,2160000,27,486,6.96,559
Angola,Africa,1843,2190000,27,486,6.96,561
Angola,Africa,1844,2230000,27,486,6.96,563
Angola,Africa,1845,2260000,27,486,6.96,566
Angola,Africa,1846,2290000,27,486,6.96,569
Angola,Africa,1847,2330000,27,486,6.96,571
Angola,Africa,1848,2360000,27,486,6.96,573
Angola,Africa,1849,2390000,27,486,6.97,576
Angola,Africa,1850,2420000,27,486,6.97,579
Angola,Africa,1851,2450000,27.1,486,6.97,582
Angola,Africa,1852,2470000,27.2,486,6.97,584
Angola,Africa,1853,2490000,27.4,486,6.97,586
Angola,Africa,1854,2510000,27.5,486,6.97,589
Angola,Africa,1855,2530000,27.6,486,6.97,591
Angola,Africa,1856,2550000,27.8,486,6.97,594
Angola,Africa,1857,2570000,27.9,486,6.97,597
Angola,Africa,1858,2590000,28,486,6.97,600
Angola,Africa,1859,2610000,28.2,486,6.97,602
Angola,Africa,1860,2630000,28.3,486,6.97,605
Angola,Africa,1861,2650000,28.4,486,6.97,607
Angola,Africa,1862,2680000,28.6,486,6.97,610
Angola,Africa,1863,2700000,28.7,486,6.98,612
Angola,Africa,1864,2720000,28.8,486,6.98,615
Angola,Africa,1865,2740000,28.9,486,6.98,618
Angola,Africa,1866,2760000,29.1,486,6.98,621
Angola,Africa,1867,2790000,29.2,486,6.98,624
Angola,Africa,1868,2810000,29.3,486,6.98,626
Angola,Africa,1869,2830000,29.5,486,6.98,629
Angola,Africa,1870,2850000,29.6,486,6.98,632
Angola,Africa,1871,2870000,29.7,486,6.98,635
Angola,Africa,1872,2890000,29.9,486,6.98,637
Angola,Africa,1873,2910000,30,486,6.98,640
Angola,Africa,1874,2930000,30.1,486,6.98,643
Angola,Africa,1875,2950000,30.3,486,6.98,645
Angola,Africa,1876,2960000,30.4,486,6.98,648
Angola,Africa,1877,2980000,30.5,486,6.99,651
Angola,Africa,1878,3000000,30.6,486,6.99,655
Angola,Africa,1879,3020000,30.8,486,6.99,658
Angola,Africa,1880,3040000,30.9,486,6.99,661
Angola,Africa,1881,3060000,31,486,6.99,663
Angola,Africa,1882,3080000,31.2,486,6.99,666
Angola,Africa,1883,3090000,31.3,486,6.99,669
Angola,Africa,1884,3110000,31.4,486,6.99,672
Angola,Africa,1885,3130000,31.6,486,6.99,675
Angola,Africa,1886,3150000,31.7,486,6.99,678
Angola,Africa,1887,3170000,31.8,486,6.99,681
Angola,Africa,1888,3190000,31.9,486,6.99,684
Angola,Africa,1889,3200000,32.1,486,6.99,687
Angola,Africa,1890,3210000,32.2,486,6.99,690
Angola,Africa,1891,3210000,32.3,486,7,693
Angola,Africa,1892,3200000,32.5,486,7,696
Angola,Africa,1893,3190000,32.6,486,7,699
Angola,Africa,1894,3180000,32.7,486,7,702
Angola,Africa,1895,3170000,32.9,486,7,705
Angola,Africa,1896,3160000,33,486,7,708
Angola,Africa,1897,3140000,33.1,485,7,712
Angola,Africa,1898,3130000,33.3,485,7,715
Angola,Africa,1899,3120000,33.4,485,7,718
Angola,Africa,1900,3100000,33.5,485,7,721
Angola,Africa,1901,3080000,33.6,484,7,724
Angola,Africa,1902,3060000,33.8,484,7,727
Angola,Africa,1903,3040000,33.9,483,7,730
Angola,Africa,1904,3020000,34,483,7,733
Angola,Africa,1905,3000000,34.2,482,7.01,737
Angola,Africa,1906,2980000,34.3,481,7.01,740
Angola,Africa,1907,2960000,34.4,480,7.01,743
Angola,Africa,1908,2940000,34.6,479,7.01,746
Angola,Africa,1909,2920000,34.7,478,7.01,750
Angola,Africa,1910,2910000,34.8,477,7.01,753
Angola,Africa,1911,2890000,35,476,7.01,757
Angola,Africa,1912,2880000,35.1,475,7.01,760
Angola,Africa,1913,2870000,35.2,474,7.01,763
Angola,Africa,1914,2870000,35.3,473,7.01,786
Angola,Africa,1915,2860000,35.5,471,7.01,809
Angola,Africa,1916,2850000,35.6,470,7.01,834
Angola,Africa,1917,2840000,35.7,469,7.01,858
Angola,Africa,1918,2830000,13.9,468,7.01,883
Angola,Africa,1919,2830000,36,467,7.02,910
Angola,Africa,1920,2840000,36.1,466,7.02,937
Angola,Africa,1921,2860000,36.3,465,7.02,967
Angola,Africa,1922,2890000,36.4,463,7.02,998
Angola,Africa,1923,2940000,36.5,462,7.02,1030
Angola,Africa,1924,2980000,36.6,461,7.02,1060
Angola,Africa,1925,3020000,36.8,460,7.02,1100
Angola,Africa,1926,3070000,36.9,459,7.02,1130
Angola,Africa,1927,3120000,37,458,7.01,1170
Angola,Africa,1928,3160000,37.2,457,7.01,1200
Angola,Africa,1929,3210000,37.3,455,7,1240
Angola,Africa,1930,3260000,37.4,454,7,1280
Angola,Africa,1931,3300000,37.6,449,7,1320
Angola,Africa,1932,3350000,37.7,444,7,1360
Angola,Africa,1933,3400000,37.8,439,6.99,1410
Angola,Africa,1934,3440000,38,434,6.99,1450
Angola,Africa,1935,3490000,38.1,428,6.99,1500
Angola,Africa,1936,3540000,38.2,423,7,1550
Angola,Africa,1937,3590000,38.4,418,7,1590
Angola,Africa,1938,3640000,38.5,413,7,1650
Angola,Africa,1939,3690000,38.6,408,7,1700
Angola,Africa,1940,3750000,38.7,403,7.01,1750
Angola,Africa,1941,3810000,39.4,396,7.02,1830
Angola,Africa,1942,3880000,40.1,388,7.02,1910
Angola,Africa,1943,3950000,40.8,381,7.03,1990
Angola,Africa,1944,4019999.9999999995,41.4,373,7.04,2080
Angola,Africa,1945,4090000,42.1,366,7.05,2170
Angola,Africa,1946,4170000,42.8,359,7.06,2270
Angola,Africa,1947,4240000,43.5,352,7.07,2370
Angola,Africa,1948,4320000,44.2,344,7.08,2480
Angola,Africa,1949,4400000,44.9,338,7.1,2580
Angola,Africa,1950,4480000,45.6,331,7.11,2700
Angola,Africa,1951,4570000,45.6,330,7.13,2790
Angola,Africa,1952,4660000,45.6,329,7.15,2890
Angola,Africa,1953,4760000,45.6,327,7.17,3000
Angola,Africa,1954,4850000,45.6,324,7.2,2910
Angola,Africa,1955,4940000,45.5,322,7.23,3130
Angola,Africa,1956,5020000,45.7,320,7.27,3060
Angola,Africa,1957,5100000,45.8,317,7.31,3340
Angola,Africa,1958,5190000,45.9,314,7.36,3510
Angola,Africa,1959,5270000,46.1,312,7.42,3500
Angola,Africa,1960,5360000,46.3,308,7.48,3630
Angola,Africa,1961,5440000,44.8,305,7.52,4090
Angola,Africa,1962,5520000,45,302,7.56,3960
Angola,Africa,1963,5600000,45.2,298,7.59,4140
Angola,Africa,1964,5670000,45.4,295,7.61,4590
Angola,Africa,1965,5740000,45.6,291,7.62,4910
Angola,Africa,1966,5790000,45.8,287,7.62,5170
Angola,Africa,1967,5830000,46,283,7.61,5440
Angola,Africa,1968,5870000,46.2,279,7.61,5330
Angola,Africa,1969,5930000,46.4,275,7.6,5460
Angola,Africa,1970,6030000,46.6,271,7.6,5770
Angola,Africa,1971,6180000,46.8,267,7.6,5850
Angola,Africa,1972,6360000,47,263,7.61,5820
Angola,Africa,1973,6580000,47.2,260,7.61,6140
Angola,Africa,1974,6800000,47.4,256,7.61,6050
Angola,Africa,1975,7030000,47.5,252,7.62,4640
Angola,Africa,1976,7270000,47.5,249,7.61,4260
Angola,Africa,1977,7510000,47.7,246,7.59,4260
Angola,Africa,1978,7770000,47.8,243,7.57,4170
Angola,Africa,1979,8039999.999999999,48,241,7.54,4170
Angola,Africa,1980,8330000,48.1,238,7.5,4220
Angola,Africa,1981,8630000,48.2,236,7.47,4040
